time	manip	gran	press	averat	laba	proba	StZn	cell_1	cell_2	cell_3
4590	0	0	0	2	1	0	4	0	1	3	
4600	0	0	0	2	1	0	4	0	1	3	
4610	0	0	0	2	1	0	4	0	1	3	
4620	0	0	0	2	1	0	4	0	1	3	
4630	0	0	0	2	1	0	4	0	1	3	
4640	0	0	0	2	1	0	4	0	1	3	
4650	0	0	0	2	1	0	4	0	1	3	
4660	0	0	0	2	1	0	4	0	1	3	
4670	0	0	0	2	1	0	4	0	1	3	
4680	0	0	0	2	1	0	4	0	1	3	
4690	0	0	0	2	1	0	4	0	1	3	
4700	0	0	0	2	1	0	4	0	1	3	
4710	0	0	0	2	1	0	4	0	1	3	
4720	0	0	0	2	1	0	4	0	1	3	
4730	0	0	0	2	1	0	4	0	1	3	
4740	0	0	0	2	1	0	4	0	1	3	
4750	0	0	0	2	1	0	4	0	1	3	
4760	0	0	0	2	1	0	4	0	1	3	
4770	0	0	0	2	1	0	4	0	1	3	
4780	2	0	0	0	0	0	4	0	1	3	
4790	2	0	0	0	0	0	4	0	1	3	
4800	1	0	0	0	0	2	4	0	0	3	
4810	1	0	0	0	2	2	4	0	0	3	
4820	1	0	0	0	2	2	4	0	0	3	
4830	1	0	0	0	2	2	4	0	0	3	
4840	1	0	0	0	2	2	4	0	0	3	
4850	1	0	0	0	2	2	4	0	0	3	
4860	1	0	0	0	2	2	4	0	0	3	
4870	1	0	0	0	2	2	4	0	0	3	
4880	2	1	0	0	2	0	4	0	0	3	
4890	4	1	0	0	2	0	0	2	0	3	
4900	4	1	0	0	2	0	0	2	0	3	
4910	0	1	0	4	2	0	0	2	0	3	
4920	0	1	0	4	2	0	0	2	0	3	
4930	0	1	0	4	2	0	0	2	0	3	
4940	0	1	0	4	2	0	0	2	0	3	
4950	0	1	0	4	2	0	0	2	0	3	
4960	0	1	0	4	2	0	0	2	0	3	
4970	0	1	0	4	2	0	0	2	0	3	
4980	0	1	0	4	2	0	0	2	0	3	
4990	0	1	0	4	2	0	0	2	0	3	
5000	0	1	0	4	2	0	0	2	0	3	
5010	0	1	0	4	2	0	0	2	0	3	
5020	0	1	0	4	2	0	0	2	0	3	
5030	0	1	0	4	2	0	0	2	0	3	
5040	0	1	0	4	2	0	0	2	0	3	
5050	0	1	0	4	2	0	0	2	0	3	
5060	0	1	0	4	2	0	0	2	0	3	
5070	0	1	0	4	2	0	0	2	0	3	
5080	0	1	0	4	2	0	0	2	0	3	
5090	0	1	0	4	2	0	0	2	0	3	
5100	0	1	0	4	2	0	0	2	0	3	
5110	0	1	0	4	2	0	0	2	0	3	
5120	0	1	0	4	2	0	0	2	0	3	
5130	0	1	0	4	2	0	0	2	0	3	
5140	0	1	0	4	2	0	0	2	0	3	
5150	0	1	0	4	2	0	0	2	0	3	
5160	0	1	0	4	2	0	0	2	0	3	
5170	0	1	0	4	2	0	0	2	0	3	
5180	4	1	0	0	0	0	0	2	0	3	
5190	4	1	0	0	0	0	0	2	0	3	
5200	1	0	0	0	0	4	0	2	0	3	
5210	1	0	0	0	4	4	0	2	0	3	
5220	1	0	0	0	4	4	0	2	0	3	
5230	4	0	0	1	4	0	0	2	0	3	
5240	2	0	0	1	4	0	0	0	4	3	
5250	2	0	0	1	4	0	0	0	4	3	
5260	0	0	0	1	4	0	2	0	4	3	
5270	0	0	0	1	4	0	2	0	4	3	
5280	0	0	0	1	4	0	2	0	4	3	
5290	0	0	0	1	4	0	2	0	4	3	
5300	0	0	0	1	4	0	2	0	4	3	
5310	0	0	0	1	4	0	2	0	4	3	
5320	0	0	0	1	4	0	2	0	4	3	
5330	0	0	0	1	4	0	2	0	4	3	
5340	0	0	0	1	4	0	2	0	4	3	
5350	0	0	0	1	4	0	2	0	4	3	
5360	0	0	0	1	4	0	2	0	4	3	
5370	0	0	0	1	4	0	2	0	4	3	
5380	0	0	0	1	4	0	2	0	4	3	
5390	0	0	0	1	4	0	2	0	4	3	
5400	0	0	0	1	4	0	2	0	4	3	
5410	0	0	0	1	4	0	2	0	4	3	
5420	0	0	0	1	4	0	2	0	4	3	
5430	0	0	0	1	4	0	2	0	4	3	
5440	0	0	0	1	4	0	2	0	4	3	
5450	0	0	0	1	4	0	2	0	4	3	
5460	0	0	0	1	4	0	2	0	4	3	
5470	0	0	0	1	4	0	2	0	4	3	
5480	0	0	0	1	4	0	2	0	4	3	
5490	0	0	0	1	4	0	2	0	4	3	
5500	0	0	0	1	4	0	2	0	4	3	
5510	0	0	0	1	4	0	2	0	4	3	
5520	0	0	0	1	4	0	2	0	4	3	
5530	0	0	0	1	4	0	2	0	4	3	
5540	0	0	0	1	4	0	2	0	4	3	
5550	0	0	0	1	4	0	2	0	4	3	
5560	1	0	0	0	0	0	2	0	4	3	
5570	1	0	0	0	0	0	2	0	4	3	
5580	4	0	0	0	0	1	2	0	0	3	
5590	4	0	0	0	1	1	2	0	0	3	
5600	4	0	0	0	1	1	2	0	0	3	
5610	4	0	0	0	1	1	2	0	0	3	
5620	4	0	0	0	1	1	2	0	0	3	
5630	4	0	0	0	1	1	2	0	0	3	
5640	4	0	0	0	1	1	2	0	0	3	
5650	4	0	0	0	1	1	2	0	0	3	
5660	1	4	0	0	1	0	2	0	0	3	
5670	2	4	0	0	1	0	0	1	0	3	
5680	2	4	0	0	1	0	0	1	0	3	
5690	0	4	0	2	1	0	0	1	0	3	
5700	0	4	0	2	1	0	0	1	0	3	
5710	0	4	0	2	1	0	0	1	0	3	
5720	0	4	0	2	1	0	0	1	0	3	
5730	0	4	0	2	1	0	0	1	0	3	
5740	0	4	0	2	1	0	0	1	0	3	
5750	0	4	0	2	1	0	0	1	0	3	
5760	0	4	0	2	1	0	0	1	0	3	
5770	0	4	0	2	1	0	0	1	0	3	
5780	0	4	0	2	1	0	0	1	0	3	
5790	0	4	0	2	1	0	0	1	0	3	
5800	0	4	0	2	1	0	0	1	0	3	
5810	0	4	0	2	1	0	0	1	0	3	
