time	manip	gran	press	averat	laba	proba	StZn
4460	0	0	0	1	1	0	0	
4470	0	0	0	1	1	0	1	
4480	0	0	0	1	1	0	1	
4490	0	0	0	1	1	0	2	
4500	0	0	0	1	1	0	2	
4510	0	0	0	1	1	0	2	
4520	0	0	0	2	1	0	2	
4530	0	0	0	2	1	0	2	
4540	0	0	0	2	1	0	2	
4550	0	0	0	2	1	0	2	
4560	0	0	0	2	1	0	2	
4570	0	0	0	2	1	0	2	
4580	0	0	0	2	1	0	2	
4590	0	0	0	2	1	0	2	
4600	0	0	0	2	1	0	2	
4610	0	0	0	2	1	0	2	
4620	0	0	0	2	1	0	2	
4630	0	0	0	2	1	0	2	
4640	0	0	0	2	1	0	2	
4650	0	0	0	2	1	0	2	
4660	0	0	0	2	1	0	2	
4670	0	0	0	2	1	0	2	
4680	0	0	0	2	1	0	2	
4690	0	0	0	2	1	0	2	
4700	0	0	0	2	1	0	2	
4710	0	0	0	2	1	0	2	
4720	0	0	0	2	1	0	2	
4730	0	0	0	2	1	0	2	
4740	0	0	0	2	1	0	2	
4750	0	0	0	2	1	0	2	
4760	0	0	0	2	1	0	2	
4770	0	0	0	2	1	0	2	
4780	0	0	0	2	2	0	2	
4790	1	0	0	0	0	0	2	
4800	0	0	0	0	0	0	2	
4810	1	0	0	0	0	2	2	
4820	1	0	0	0	1	2	2	
4830	0	0	0	0	1	2	2	
4840	1	0	3	0	1	2	2	
4850	1	0	3	0	1	2	2	
4860	1	0	3	0	1	2	2	
4870	1	0	3	0	1	2	2	
4880	0	0	3	0	1	2	2	
4890	0	1	3	0	1	0	2	
4900	1	1	3	0	1	0	0	
4910	0	1	3	0	1	0	0	
4920	0	1	3	1	1	0	0	
4930	0	1	3	1	1	0	0	
4940	0	1	3	1	1	0	0	
4950	0	1	3	1	1	0	0	
4960	0	1	3	1	1	0	0	
4970	0	1	3	1	1	0	0	
4980	0	1	3	1	1	0	0	
4990	0	1	3	1	1	0	0	
5000	0	1	3	2	1	0	0	
5010	0	1	3	2	1	0	0	
5020	0	1	3	2	1	0	0	
5030	0	1	3	2	1	0	0	
5040	0	1	3	2	1	0	0	
5050	0	1	3	2	1	0	0	
5060	0	1	3	2	1	0	0	
5070	0	1	3	2	1	0	0	
5080	0	1	3	2	1	0	0	
